state,x,y
Andhra Pradesh,-70,-141
Arunachal Pradesh,191,97
Assam,131,56
Bihar,40,48
Chhattisgarh,-24,-23
Goa,-141,-137
Gujrat,-221,8
Haryana,-115,112
Himachal Pradesh,-97,166
Jharkhand,24,11
Karnataka,-125,-175
Kerala,-116,-226
Madhya Pradesh,-110,-5
Maharashtra,-129,-61
Manipur,183,25
Meghalaya,125,40
Mizoram,167,2
Nagaland,195,53
Odisha,14,-47
Punjab,-136,130
Rajasthan,-183,-59
Sikkim,92,84
Tamil Nadu,-77,-216
Telangana,-72,-89
Tripura,132,5
Uttar Pradesh,-62,82
Uttarakhand,-58,128
West Bengal,74,-8
Jammu And Kashmir,-129,197
Delhi,-91,98
Puducherry,-48,-194
Andaman And Nicobar Islands,161,-218
Chandigarh,-95,137
Ladakh,-82,211
Lakshadweep,-179,-203
Dadra And Nagar Haveli,-159,-57
Daman,-157,-48
Diu,-192,-42